最少;adj. at least *
旅游;v. to travel *
旅店;n. inn, small hotel
觉得;v. to feel, be aware of, to think *
视觉;n. visual sense, vision *
为什么;why, for what reason *
运动;v./n. exercise, sports *
运气;n. fortune, luck *
动人;adj. moving, touching
心动;heartbeat, emotionally affected
踢足球;soccer *
美中不足;idiom. Everything is fine except for one small defect
十足;phrase. complete, one hundred percent
起飞;v. aircraft take off *
眼睛;n. eye *
眼下;n. at the moment, at present
冷眼;phrase. cool eye, treating with indifference
小心眼儿;adj. narrow-minded, petty
点睛;The finishing touch
花钱;v. Spend money *
花生;n. peanut *
花样;n. style, design, pattern *
早上;n. early morning *
早饭;n. breakfast *
早睡早起;phrase. early to bed, early to rise
起床;v. to get out of bed, get up *
跑步;v. to run, to jog *
跑车;n. sports car
跑不了;phrase. cannot run away, impossible to escape
同步;v. to synchronize
下一步;the next step
身体;body, health *
热身;to warm up, to prepare *
体会;to learn from experience
大体;in general, basically
生病;sick *
出去;v. to go out, to get out *
出现;v. to show up
米饭;(cooked) rice *
高兴;adj. happy, glad *
时间;time, period *
知道;v. to know, to realize, to understand, to be aware of *
休息;v. to rest *
休学;to suspend schooling
出息;future prospects
天真;adj. innocent, naive *
认真;v. to take seriously
手表;n. wrist watch *
手电;n. flashlight *
对手;n. (well-matched) adversary, rival
高手;n. expert
目送;v. follow someone with one's eyes, watch someone go
欢送会;n. farewell party
报纸;n. newspaper *
报名;v. register for, apply, sign up
牛奶;n. cow milk *
奶牛;n milk cow *
真牛;adj. very competent, so awesome (informal)
奶奶;n. grandma, mother of the father *
喂奶;to breast feed
丈夫;n husband *
老丈人;father-in-law (wife's father)
夫人;n. lady, wife
下工夫;v. to put in time and energy, to concentrate one's efforts
左边;the left side, to the left of *
旁边;beside, nearby *
旁人;n. other people, bystanders, onlookers *
房间;n. room *
房子;house, apartment *
颜色;n. color *
红颜;n. a beautiful woman *
五颜六色;adj. colorful, of various colors
出色;adj. remarkable, outstanding
好色;lust for sex *
月色;n. moonlight 
红色;red *
口红;n. lipstick
眼红;phrase. green with envy, jealous
红茶;n. black tea *
粉色;pink *
米粉;n. rice-flour noodles *
面粉;n. flour *
帮手;helper, assistant
介绍;v. to introduce, to give a presentation *
中介;agent, agency, to act as an intermediary
给面子;phrase. save one's face
两口子;n. husband and wife
生日;n. birthday *
出生日期;phrase. date of birth
晚上;evening, night *
已经;already *
月经;phrase. woman's period *
经商;v. be in business, do business
开始;start, begin, beginning *
开心;feel happy *
开花;v. bloom, blossom
开会;v. to hold a meeting, to attend a meeting *
开学;phrase. the start of a new term of school
非常;very, very much, extraordinary, unusual *
是非;phrase. right and wrong, dispute, quarrel
是非不分;idiom. unable to distinguish right and wrong
是非分明;idiom. to distinguish right from wrong
经常;often, frequently *
常人;ordinary person *
快乐;adj. happy, merry *
快车;n. express (train, bus, etc.)
欢乐;adj. happy, glad
乐手;phrase. instrumental performer
